Total Bet: 1625 | Total Win: 680 | Average Bet: 108 | Average Win: 45 
Bet: 65 | Win: 100 |  Dices: 2 - 5 - 5 
Bet: 25 | Win: 0 |  Dices: 1 - 1 - 6 
Bet: 30 | Win: 0 |  Dices: 4 - 5 - 6 
Bet: 40 | Win: 0 |  Dices: 2 - 3 - 4 
Bet: 45 | Win: 0 |  Dices: 4 - 5 - 5 
Bet: 45 | Win: 0 |  Dices: 3 - 3 - 6 
Bet: 50 | Win: 0 |  Dices: 1 - 3 - 4 
Bet: 55 | Win: 20 |  Dices: 1 - 1 - 6 
Bet: 175 | Win: 410 |  Dices: 1 - 2 - 5 
Bet: 860 | Win: 0 |  Dices: 4 - 4 - 5 
Bet: 105 | Win: 0 |  Dices: 1 - 1 - 1 
Bet: 35 | Win: 70 |  Dices: 1 - 2 - 5 
Bet: 70 | Win: 0 |  Dices: 1 - 1 - 4 
Bet: 20 | Win: 70 |  Dices: 2 - 4 - 6 
Bet: 5 | Win: 10 |  Dices: 1 - 5 - 6 
